Data Series,Total All Markets,  America,    Antigua And Barbuda,    Argentina,    Bahamas,    Bermuda,    Brazil,    Canada,    Chile,    Colombia,    Costa Rica,    Cuba,    Dominican Rep,    Ecuador,    El Salvador,    Guatemala,    Guyana,    Honduras,    Jamaica,    Mexico,    Netherlands Antilles,    Panama,    Paraguay,    Peru,    Puerto Rico,    St. Vincent And The Grenadines,    Trinidad And Tobago,    United States,    United States Virgin Islands,    Uruguay,    Venezuela,    Other Markets America,  Asia,    Afghanistan,    Bahrain,    Bangladesh,    Brunei,    Cambodia,    China,    Christmas Island,    Hong Kong,    India,    Indonesia,    Iran,    Iraq,    Israel,    Japan,    Jordan,    Kazakhstan,"    Korea, Dem Peo Rep Of","    Korea, Rep Of",    Kuwait,    Lao,    Lebanon,    Macao,    Malaysia,    Maldives,    Mongolia,    Myanmar,    Nepal,    Oman,    Pakistan,    Philippines,    Qatar,    Saudi Arabia,    Sri Lanka,    Syria,    Taiwan,    Thailand,    Turkiye,    United Arab Emirates,    Viet Nam,    Yemen,    Other Markets Asia,  Europe,    Austria,    Belarus,    Belgium,    Bulgaria,    Croatia,    Cyprus,    Czech Rep,    Denmark,    Estonia,    Finland,    France,    Germany,    Greece,    Hungary,    Ireland,    Italy,    Latvia,    Lithuania,    Luxembourg,    Malta,    Netherlands,    Norway,    Poland,    Portugal,    Romania,    Russia,    Slovakia,    Slovenia,    Spain,    Svalbard And Jan Mayen Islands,    Sweden,    Switzerland,    Ukraine,    United Kingdom,    Other Markets Europe,  Oceania,    Antarctica,    Australia,    Fiji,    French Polynesia,    Guam,    Marshall Islands,    New Caledonia,    New Zealand,    Northern Mariana Islands,    Papua New Guinea,    Samoa,    Solomon Islands,    Vanuatu,    Other Markets Oceania,  Africa,    Algeria,    Angola,    Benin,    Cameroon,    Cape Verde,    Comoros,"    Congo, Dem Rep Of",    Cote D'ivoire,    Djibouti,    Egypt,    Ethiopia,    Gabon,    Ghana,    Guinea,    Kenya,    Liberia,    Libya,    Madagascar,    Mauritius,    Morocco,    Mozambique,    Nigeria,    Reunion,    Seychelles,    Sierra Leone,    Somalia,    South Africa,    Sudan,    Swaziland,    Tanzania,    Tunisia,    Zambia,    Zimbabwe,    Other Markets Africa
2014 Jan,41143.3,5570,0,29.8,0.1,0,205.2,176.6,9,39.1,59.7,0.6,5.1,0.3,0.2,2.1,0,0.2,0,275.5,0.3,0.1,0.2,1.6,16.4,0,65.3,4116.6,0,3.3,547.9,15,27473.3,0,13.9,14.1,51.9,34.8,4796.6,0,331.8,1080.3,2165.2,1.3,0,111.3,1803.6,0.9,0,1.3,2235.6,527.5,0.9,0.2,1.6,4373.4,0.1,0,10.7,0.2,37.2,10.2,464.5,667.8,2395,9.3,0,3242.4,939.8,34.8,1795.1,283.2,36,0.5,6463.7,131.5,22.2,154.5,58.8,0.7,0.6,28.3,40.9,1.9,57.6,726.8,1067.3,5.8,35.6,72.2,394.7,1.7,24.7,2.8,44.3,474,158.2,29.3,9.6,9.1,675.8,4.9,4.3,104.9,0,114.7,1313.3,11.8,674.2,6.6,1280.1,0.1,1193.4,0.5,0,0.1,0,7.1,76.4,0,2.4,0.1,0,0,0.1,356.3,1.8,0.1,0.1,1.9,0,0.3,0,3.3,0,8.1,1.9,0.1,9.1,0,0.9,0.4,0.6,1.9,0.5,13.4,0.3,0.1,3.5,0,0,0,123.9,0,0.1,0.9,1.3,0,2.6,179.1
2013 Dec,38686.5,4793.3,0,29.4,0.1,0,97.6,152.6,8.2,18.6,56.6,0.3,3.7,0.5,0.1,1.2,0,0.1,0,230.1,0,0,0.2,1.3,23.7,0,61.7,3694,0,2.6,384.1,26.5,26194.8,0,4.2,15.3,4.9,25.3,4951.2,0,296.7,818.3,2359.1,3.5,340.5,124.9,2267.2,1.3,0.1,1.2,2183.9,397.6,4.1,0.3,1.4,4580,0.1,1.3,11.3,0.3,8.2,10.1,505.3,708.2,1315.6,34.9,0,2870.8,813.4,44.8,1170,241.2,0.6,77.9,6886.7,140,0.1,180.5,61.3,1.8,0.6,27.6,55.3,4.1,45.5,732.4,1234.7,16,42.1,98.5,501.7,1.1,47.8,4.1,52.9,673.9,209.1,41,12.1,6.5,540.9,10.4,6.3,98.2,0,128.7,1084.6,62.6,759,5.5,602.8,0,493.6,0.3,0.1,0,0,0.8,100.5,0,6.9,0,0.2,0,0.3,208.9,0,0.4,0.1,3,0,0,0,0.7,0.6,4.8,3.3,0.2,2.5,0.1,1.7,0.2,0.8,3.7,2.6,18.3,0.6,0.1,0.3,0,0,0,63.4,0,0,2.6,1.1,0,1.7,96.2
2013 Nov,38981.8,5269.7,0.1,27.5,0,0,195.6,118.3,8.9,261.8,49.3,0.9,2.3,0.5,0.1,0.4,0,0.4,0.1,232.5,49.7,0.3,0.1,1.2,40.8,0,58.9,3886.9,0,2,328.7,2.6,26960.8,0.3,44.8,9.2,1.9,18.7,4814.5,0,264.3,886.1,1839.4,2,437.8,120.8,2073.4,3.4,0.1,0.9,2265.1,387.1,1.7,0.2,1.1,4268.2,0.1,0.1,10,1,143,8,555.4,753.1,1279.1,11.8,0,2731.9,931.4,39.8,2151.2,791.2,111.2,1.2,6065.7,121.8,2.8,183.3,3,0.8,1.9,27.8,58.3,0.9,35.9,861.3,1048.8,8.2,32,101.4,429.1,2.1,1.4,5.5,42.4,581.9,95.7,25.8,13.9,6,499,5.6,4.5,95.3,0,127.1,809,6.5,821.8,5,496.1,0,394,0.4,0.1,0.6,0,2.4,94.3,0,3.6,0,0.1,0.2,0.5,189.5,0,0,0.1,2.9,0,0,0.1,0.8,0.1,5.4,5.3,0.1,2.7,0,1.3,0,0,4,2.7,15.2,0.2,0.2,4.3,0.1,0,0,67.7,0.1,0.3,2.6,1.3,0,5,66.9
2013 Oct,44871.4,5847.2,0,10.6,0,0,255.6,139.6,7.7,203.7,60.2,1.2,2.1,0.2,0.2,1.1,0.1,0.1,0.1,181.8,0.1,2.7,0.3,2.4,58.2,0,53.5,4037.2,0.3,1.1,824.5,2.7,29434,0,93,10.2,5.4,27.4,4672.4,0,429.2,850.7,2123.1,0.4,337.2,164.6,2204.7,4.1,45.7,0,2495.8,142.1,0.5,0.7,2.9,4459.9,0.1,0,9.9,0.7,166.9,10.8,641.5,700.4,2411.7,47.1,0,3459.4,1462.7,40.6,2051.5,359,0.4,1.2,8486.1,130.5,0.4,157.6,40.4,1.2,1.2,30.3,48.6,1,39.2,861.1,1300.8,6.9,28.8,83.4,475.1,1.8,1.2,7.9,45.7,585.5,172.7,25.6,15.1,8.1,515.5,7.2,3.8,100.6,0,122.8,2722.8,20.3,915.3,7.6,845,0,722.2,0.5,1.8,0,0,0.9,116.2,0,2,0,0,0,1.3,259.1,0,0,0.1,0.3,0,1.7,0,1.1,0.1,5.3,1.8,0.4,11.5,0,0.3,0.1,0,0.8,4.1,12.5,1.1,0.3,0.3,0.1,0,0,140.8,0,0,1.1,0.8,2.7,1.4,70
2013 Sep,41616.8,6441.8,0,11.2,0,0,231.9,120.3,7.3,42,78.9,0.3,4.6,0.2,0.2,0.6,0,0.1,0,258.9,87.9,0.6,0.3,2.3,28.6,0,66,4760.3,0.1,2.5,724,12.6,28099.3,0,60.7,12.1,7.1,15,4676.7,0,314.5,1150.9,2484.1,1.6,405.6,96.8,2119.1,1.9,0.1,1.4,2765.9,255.4,0.1,0.2,1,4058,0.2,0.1,7.6,0.9,222.7,8.6,553.7,1060.3,1237.1,10.4,0,3115,1020.3,45.3,2055.4,332.2,0.5,0.8,6238.1,116.4,0.2,203.1,2.3,1.1,7.2,24,44,1.2,33.7,785.6,1168.1,11.7,34.4,104.5,343.3,1.5,1.8,5.6,47.6,796.4,164.7,17.3,11.4,8.8,250.6,10.5,3.5,85.2,0,114.2,905.5,36,890.7,6,704.2,0,637.2,0.7,0.3,0,0.1,1.1,60.6,0,3.4,0,0,0.1,0.8,133.5,0.8,0,0,1.5,0,0.5,0,0.8,0,2.3,1.8,0.1,8,0,0.3,0,0,1.8,0.4,16.3,0.5,0.3,0.3,0,0.1,0,78,0.8,0.1,2.7,1.2,0,4,10.7
2013 Aug,40477.3,5843.8,0,8.2,0,0,124.8,135.8,7,92.3,95.2,0.5,3.9,0.4,0.1,0.7,0.1,0.1,0,313.2,100.8,0.9,0.1,1.8,27.3,0,0.1,4266.6,0,2.3,645.8,15.9,26865.3,0,40.2,14.1,5.1,25,4704.9,0,255.3,1204.6,1980.6,0.7,261.6,98.7,2128.1,2.6,0.1,1.3,2093,338.8,0.1,0.3,1.5,4397.6,0.1,0,52.2,1,136.9,8,512.8,707.8,1757.6,8.2,0.2,2935,897,30.4,1936.2,308.1,18.8,0.6,6664.6,109.7,0.3,106.2,70.7,0.8,2.8,26.7,52.1,1.2,38.8,875,1194,9.4,37.9,99.7,395.7,0.9,1,6.5,41.5,439.2,161.6,25.7,10,10.3,774.4,11.3,5.7,91.6,0,137.1,1059.6,40.8,821.1,5.2,770.3,0,663.3,0.8,0,0.2,0,0.4,101.1,0,4.1,0,0.1,0,0.1,333.3,0,0.4,0.4,0,0,2.3,0,1.1,0,7,1.5,8.5,11,0,0.8,0.1,0,4.4,1.4,16.8,0.7,0.1,0.3,0,0,0,122.1,0.1,0.4,4.7,0.9,0.2,0.8,147.3
2013 Jul,43645.8,6344.8,0,27.3,0,0,221.7,154.3,8.5,96.1,66,0.8,4.3,0.3,0.1,0.9,0,0.1,0.1,170.6,11.8,0.5,0.2,1.7,55.5,0,0,4349.8,0,2.4,1149.4,22.3,28328.7,0,12.4,15.6,10.3,19.6,4955.4,0,399.4,1107.8,1979.8,0.9,265.6,116.3,2186.7,1.1,0,1.3,2327.9,248.1,0.1,0.2,1,4607.7,0.2,1.1,14.3,0.9,130.9,15,543.4,1056.3,1766,11.1,0,2857.1,1022.2,52.6,2159.4,333.2,106.8,1.1,7708.3,108.7,26.8,201.4,3.3,1.1,1.6,28.4,61.7,8.5,35.7,1068.6,1255,7.2,40.4,80.6,443.5,2,1.9,9.1,51.4,336,117.8,62.3,10.5,12.2,527.3,6,5.6,113.5,0,133.2,1973.8,34.2,934.6,4.6,763.5,0,669.6,0.9,0.1,0.2,0,1.3,87.8,0,3.3,0,0,0,0.2,500.4,0,25.4,0,0.1,0,0.3,0,0.8,0,19.5,2.4,0,13.3,0,4.6,0.1,0,11.8,2.2,17.8,0.1,0.2,1.1,0.7,0,0,262.4,0,0.4,1.1,1.5,0,0.4,134
2013 Jun,39241,5004.4,0,9.8,0.1,0,146.5,139.2,8.4,148.5,60,0.4,5,0.3,0.3,1.8,0,0.3,0.1,257.9,0.2,0.4,0.2,1.3,32.9,0,0,3755.9,0,1.2,412.4,21,26388.3,0,60.6,13.7,4.3,16.8,4398,0,388,794.4,1975.2,1,387.1,123.4,2230.1,3.1,0.2,1.6,2593.2,563.1,0.2,0.4,0.9,4072.3,0.1,0.1,7.1,0.2,190.3,11.4,544,748.3,1166.3,9.3,0.3,3165.4,911.9,89.5,1645.5,224.2,38.5,8.4,7068.7,113.9,0.4,198.9,58.4,0.6,1.2,29.5,51.4,1.9,34.4,744.9,1058.8,15.6,34.9,92.3,405.5,1.5,1.7,19.6,53.7,424.9,146.2,19.6,7,10.5,766.4,6.7,5.6,139.8,0,109.6,1676.5,56,775.4,5.5,484.7,0,393.3,0.7,1.2,0.4,0,0.6,85,0,1.8,0,0.1,0.9,0.6,294.8,0,1.5,0,0.4,0,0,0.3,0.6,0.1,27.7,1.4,0,10.9,0,0.5,0.1,0,1.3,1.2,21.2,0.1,0.6,2.2,0,0,0,136.9,0.4,3.2,1.4,2,1.5,1.5,77.7
2013 May,41984.1,5550.9,0,5.2,0,0,186.1,125.7,5.7,130.8,57.1,0.6,3.4,0.2,0.2,1.5,0,0.4,0,343.8,48.1,0.6,0.2,1.4,13.5,0,0,3800.3,0,1.9,810.9,13.2,27479.2,0,63.4,11.9,3.6,16.7,4512.7,0,478.2,1079.7,1904.2,2.7,648.5,116.1,2067,3,0,0,2872.6,390.6,0,0.4,0.8,4040.4,0.2,0.1,8.2,0.2,257,8.7,657,1001.2,1073,6.7,0,3352.9,812,49.9,1778.6,259.4,0.5,0.9,7676.5,106.2,24.3,165.1,2.4,1.2,0.8,23.4,46.8,1.5,53.7,946.4,1123.6,147.5,39.5,63.3,380.8,1.9,37.1,3.4,47.2,631.5,149.8,22.9,9,12,711.8,4.7,7.9,114,0,130.2,1794.2,26,840.3,6.3,810.2,0,702.1,0.9,1.1,0.1,0,0.9,101.6,0,3,0,0,0,0.4,467.3,0,0.2,0.2,1.4,0,1.6,0.1,0.5,0,11.7,2.2,4.7,8.4,0,2.3,0.1,0,2.9,1.2,16.4,0.3,0.5,3.6,0,0,0,241.3,0.1,0.3,1.5,1,0.1,4.5,160.2
2013 Apr,42058.3,5697.4,0,10.4,0.1,0,118,136.3,42.5,214.3,67.8,1,4,0.5,0.2,2.4,0,0.4,0,331.8,45.7,1.1,0.2,1.2,13.8,0,0,4033.5,0,1.1,663.7,7.6,27552.5,0,46.2,11.4,6.2,17.6,4674.1,0,486.7,914,2087.2,0.2,0,103.4,2524.2,0.9,0,2.1,2750.6,545.1,0.1,0.5,0.8,4183.3,0.3,0.1,11.3,0.2,144.8,15.5,519.2,708.4,1177.5,9.2,0,3214.5,940.7,102.3,2067.2,285.1,0.2,1.4,7679.2,129.8,16.7,161.3,101.2,0.6,0.7,29.4,47.5,3.8,34.2,828.9,1153,7.1,123.9,90.8,390.2,1.3,81,7.7,49.9,670.5,156,20.8,9.6,9.1,544.2,6.4,5.2,104.2,0,118.2,1803.3,58.3,906.4,7.9,753.7,0,661.9,0.8,1.1,0.1,0,1.8,82.9,0,2.6,0,0,0,2.5,375.5,0.1,0.3,0,0.7,0,0.1,0,0.5,0.1,4.5,1.7,0.2,8.7,0,0.5,0.1,0,10.1,1.3,14.6,0.2,0.5,2.5,0,0.1,0,314.1,0.4,0.4,0.9,1,0.9,5.4,5.3
2013 Mar,38088.9,4717.4,0,8.9,0,0,121.9,101,5.7,42.7,61.3,0.7,5.5,0.3,0.1,1.7,0,0.4,0,274.2,15.6,1.4,0.2,1,18.6,0,1.7,3799.2,0,1.1,236.2,18,26017.4,0,69,16.9,8.2,18,4300.1,0,437.5,832,1947.8,0.7,147.8,115.8,2055.8,1.8,0,1.3,2679.7,325.2,0.2,0.4,1.3,4165.3,0.2,0.1,73.3,0.2,243.2,8.9,477.2,663.5,822,11.6,0,3138.7,890.9,29.8,2172.9,215.4,0.2,144.6,6399,113.2,0.8,297.9,98.2,1.2,0.5,23.7,52.3,70.6,35.3,711.5,1152,6,35.4,99.4,359.1,1.2,1.8,4.6,56,535.8,197.7,26.8,8.6,5.3,235.3,5.3,5.6,92.5,0,125.4,1153.2,30.1,851.4,5.3,709.2,0,593,1,1.8,0.2,0.1,0.5,109.5,0.1,2.4,0,0,0.1,0.4,245.8,0,152,0,0.4,0,0,0,1.4,0.2,3.6,1,0.1,4.5,0,1.6,0,0,4.3,0.7,19.6,0.2,0.3,0.4,0,0.1,0,41.4,0.9,0.5,4.4,1,0.8,3,3.4
2013 Feb,35355.1,5173.2,0,9.5,0,0,276.2,140.6,5.8,205.9,53,0.5,4,0.4,0.1,0.6,0,0.5,0.3,301.9,31.6,0.1,0.2,2,11.7,0,0,3785.9,0,0.5,305.3,36.7,23175.7,0,9.2,11.3,2.6,14.5,3692.5,0.1,351.9,701.8,1751.3,0.4,136.1,70.6,1999.6,0.2,0,0,2395.9,212.7,0,0.1,2.1,4001.3,0.1,0,6.4,0.2,417.8,10,430,712.4,934.3,8.7,0,2559.8,889.4,87.8,1581.8,181.8,0.3,0.5,6302.6,97.4,11.9,123.6,1,0.7,0.8,20.6,96.6,1.1,26.9,883.1,901.7,92.2,37.5,94.7,306.7,39.9,0.9,3.7,80.3,851.3,141.1,17.5,10.4,7.8,490.2,4.7,2.6,204.1,0,105.5,993.6,81.2,568.2,3.2,550.6,0,482.7,0.7,2,0,0,0.2,60.4,0,4.1,0,0.1,0.1,0.3,152.9,0,0.4,0,1.8,0,0.4,0,1.7,0.1,42,2,0.2,6.7,0,0.6,0.3,0,4.3,0.7,18.1,0.5,0.3,0.1,0,13.6,0,52.8,0,0.2,0.9,0.7,0.9,1.6,1.9
2013 Jan,40563.8,5553.4,0,7.6,0.2,0,155.1,156,6.3,53.7,62.9,0.7,3.5,0.9,0,1.1,0,0.2,0,173.3,162.7,0.2,0.2,2.5,18.1,0,0,4229.6,0,1.3,515.1,2.3,27814.1,0,67.5,13,9.6,14.1,4665,0,383.1,1075.8,1888.3,1,346.2,86.4,2061.3,0.3,0,1.9,2743.7,519.2,0.1,0.2,1.2,4316.6,0.1,0,12.7,0.6,206.6,35.3,426.8,1058.2,1154.9,8.2,0,2957.2,1051,86.9,2326,295,0.1,0.4,6531.6,106.3,0.2,135.7,1.4,0.8,0.4,27.8,59.9,8.3,39.5,824.9,1016.4,6.6,45.5,74.6,483.2,1.2,0.8,3.6,55,629.3,129.5,23.1,13.6,8.8,728.5,6.3,2.6,77.8,0,169.1,933.5,3.9,905.8,7.7,386.7,0,313.1,2,0.3,0.1,0.4,4,62.5,0,4.2,0,0,0,0.3,277.9,0,0.1,0,0.4,0,2.2,0,0.3,0,78.9,0.9,0.1,9.4,0.1,0.5,0,93.4,3.2,0.7,14.4,0.2,0.4,0.2,0.1,0,0,61.6,0.1,0.7,0.7,1.4,0,2.5,5.3
2012 Dec,37259.8,4705.3,0,8.6,0,0,121.7,147.8,7.8,67.4,85.9,0.5,2.8,0.2,0.2,0.7,0,1,0.1,196.3,63.1,0.5,0.1,2.9,20.1,0,0,3502,0,3,471.3,1.3,26030.8,0,94.7,10.3,15.3,9.4,4420.2,0.1,296.6,1016.9,1954.9,1.8,262.4,95,2380.2,1.7,0.4,1.7,3077.4,226.4,0.3,0.5,3,3876.6,0.2,0.1,6.7,0.6,273.6,8.8,530.7,603.3,1621.7,9.5,0,2683.9,914.5,36.9,1361.9,231.8,0.4,0.5,5582.2,96.1,45.6,108.1,2.2,1.3,73.2,25,56,1.2,34.1,730.7,979.4,7.1,28.9,86.9,375.3,95.4,1.5,4.7,54.6,517.3,138.1,26.3,9.9,10,302.3,8.1,4.4,179.1,0,114.3,703,0.8,756.8,4.3,777.3,0,706.4,0.7,0.2,0.3,0.4,1.4,63.1,0,4.5,0,0.1,0,0.1,164.2,0,0,0,0.5,0,4,0,1.7,0,38.8,1.4,0.5,6.5,0.1,1.5,0.1,0,5.7,0.6,19.4,0,0.2,7.3,0.1,0,0,69,0,0.3,0.9,1.3,0.1,1.1,3
2012 Nov,40081.3,4806.6,0,6.9,60.8,0,257.7,130.2,7,108.7,66.6,0.9,4.4,0.5,0.4,0.9,0,0.1,0.2,186.6,28.4,0.5,0.1,1.2,16.8,0,0,3543.7,0,2.8,379.6,1.6,28706,0,3.6,10.1,10.4,134.8,4461.6,0,316.9,1171,2084.3,1.3,277.4,87.5,2321.6,1.1,0.3,0,3519.7,757.4,0.1,1.7,1.7,4042.7,0.2,0.1,6.8,1.2,399.8,7.5,575.8,852.4,1684.8,7.8,0.3,2954.6,959.8,71.1,1784.1,193.3,0.5,0.6,5702.9,90.1,0.3,130.8,2.3,2,0.5,23.7,43.5,4.3,38.1,696.5,1041.2,95.4,45.3,74.7,381.2,1.6,2.1,2.9,73.8,829.1,114.7,22.2,12,8.9,383.4,5.3,9,95.2,0,147.5,607.8,8,706.6,2.8,713,0,593.5,1,3.7,0.2,0,0.5,102.9,0,3.2,0,4.5,0,3.5,152.9,0.1,0,0,0.4,0,3.5,0,0.4,0,40.3,0.6,0,9.9,0,1.3,0,0.9,14.6,0.8,13,0.2,0.1,0.6,0.4,0,0,53.5,0.1,4.2,0.6,0.9,0.1,2.8,3.4
2012 Oct,41031.8,5670.2,0,8.8,0,0,273.4,120.4,6.9,116.9,56.3,0.7,4,0.2,0.4,0.3,0,0.2,0.1,169.5,49,2.3,0.6,0.8,14.9,0,0,4347.8,0,3,491.9,1.9,27659,0.3,8.6,10.1,9.9,200.8,4022.8,0.1,310.8,1273.6,2127.8,0.6,275.9,60.5,2414.5,0.4,0.1,1.8,2824.3,408.9,0,1.4,0.8,4333.6,0.1,0,7.6,0.2,221.8,8.1,603.8,615.6,2003.3,7.6,0,2852.6,1056.7,27.6,1738.3,226.7,0.5,1,6536.2,119.9,0.2,142.5,2.8,16.7,0.6,23.7,53.7,43.5,42.7,892.5,1025.7,126.1,40.6,80.5,405.7,1.3,2.9,3,44.8,817.1,106.2,27.1,9.6,8.1,851.3,5.5,3.9,93.3,0,131,530,9.7,872.2,2.1,943.7,0,857.4,1.2,8.1,0.1,0.5,0.5,72.9,0,2.3,0,0.2,0,0.5,222.8,0,0.2,0,0.6,0,0.7,0,1.8,0.2,40.1,1.3,3.7,9.2,0.2,1.2,0.1,45.5,12.7,1.4,12.5,0.8,0.5,0.2,0,0,0,73.8,8.1,0.1,1.6,0.9,0,1.2,4.2
2012 Sep,37875.9,5248.5,0,6.9,0.1,0,138.1,132.4,7.4,186.5,90.6,0.3,3.2,0.2,0.1,0.6,0,0.2,0,170.1,42.5,0.4,0.1,0.8,14.4,0,0,3833.3,0,1.1,617.1,2.3,26139.6,0,7.4,10.7,9,209.6,3948.2,0,403.3,1421.5,2481.2,1.7,0,73,2300,0.4,0.9,1.8,2774.8,463.5,0,0.6,1,4189.6,0,0.1,7.1,1.1,78.6,4.8,673.4,668.8,1156,7.9,0,2444.1,1005.2,36.5,1374.7,381.8,1,0.3,5552.8,98,1.8,101.3,2.2,0.7,0.5,26.5,65.8,45.5,36.9,672.8,1137.4,5.4,32.2,69.8,290.3,0.8,1.1,3.9,45.5,520.6,111.7,18.6,9,7.6,804.1,4.3,6.3,73.9,0,100.1,554.6,12.1,690.1,1.5,767.3,0,684,0.9,5.9,0.4,0,2,70.9,0,2.9,0,0.1,0,0.3,167.6,0,0.1,0.1,0.2,0,0.5,0,1.6,0.1,41.4,0.5,0,7.9,0,0.9,0,0,9.9,1.2,13.4,0.2,0.2,0.4,0.1,0,0,75.5,0.1,0.2,4.7,0.9,4.3,0.9,2
2012 Aug,38629.3,5521,0,7.2,63.2,0,204.8,148.7,6.2,162.6,84.6,0.6,4,0.6,0.2,0.2,0,0.2,0,200.6,0.1,0.6,0.3,1.4,15,0,0.1,4030.2,0,2,544,43.8,25790.8,0.1,70.4,11,10.7,22.5,4067.3,0,319.4,1303,1985.5,0.2,249.8,74.9,2499.5,3.7,0.4,0,2347.5,481.8,0,1.5,2.4,4179,0.2,0.1,7.1,0.7,318.7,6.4,639.3,567.5,951.5,8.7,0,2823.7,990.3,39.1,1513.5,223.1,0.6,69.5,6349.8,109.9,0.4,128.8,1.9,0.9,1,25.8,44.5,0.9,41.1,1240.8,1074.9,6.3,50,86.9,383.1,1.5,1.6,9.7,60.9,638.7,102.2,27,17.1,8.3,365.3,4.4,5.4,92.6,0,142.4,688,226.9,758.9,1.7,731.7,0.9,626.4,1.3,2.1,0,0,2.3,93.5,0,4.3,0,0.4,0,0.4,235.9,0,0.1,0,0.2,0,0,0,1.2,0,109.8,0.8,0,7.5,0,0.6,0.1,0.4,5.6,1.5,18.1,0.2,0.8,0.3,0.1,0,0,78.4,0.1,0.1,0.5,1,2.4,3.4,2.6
2012 Jul,38990.8,5556.7,0,7.7,66.4,0,171.1,121.4,6.1,91.5,50.3,0.3,4.7,0.3,0,1.6,0,0.4,0,196.5,62.8,0.5,0.2,1.1,17.5,0,0,4174,0,2.4,561.7,18.3,26712.7,0,4,12.5,13.7,26.8,4177,0,366.1,973.1,2005.9,33.1,0,97.4,2750.9,0.7,0,2.5,2691.8,462.6,0.9,0.7,1.2,4516,0.1,0.1,8.5,0.5,98.4,6.3,911.2,729.9,1431.1,10.5,0.1,2357.4,1032.6,69.3,1564.8,315.8,0.2,39.2,5869.5,109.5,0.6,123.1,1.4,1,0.9,29.7,48,12.5,36.2,1238.6,1161.2,8.6,41.4,99.3,392.1,2.1,1.2,6.4,51.8,588,147.2,22,9,9.3,281.6,3.7,5,101.2,0,127.9,476.7,71.2,658.7,2.7,620.8,0,537.9,0.5,0.2,0.3,0.6,2.1,73.2,0,5.4,0,0.1,0.2,0.4,231.1,0.5,0,0,0,0,0,0,1.5,0,4,0.5,43.3,8.1,0,1.5,0,0.9,4.7,2.5,15.7,0.3,0.5,0.3,0,0.1,0,138.3,0.1,1.3,1,0.8,0.2,1.3,3.4
2012 Jun,41641,5098.6,0,5.3,109,0,154.8,136.6,31.8,2.9,91.9,0.6,3.6,0.4,0.6,2.5,0,0.1,0,147.7,37.4,1.8,0,5.3,14,0,0,3886.6,0,3.5,355.1,106.9,28764.9,0,2.1,9.8,14.5,31.3,4320.2,0.2,318.1,826.1,2288.4,165.6,269.5,78.1,2515.1,1.3,0.1,0.2,2676.2,739.7,0.1,1.1,0.9,4646.8,0.2,0.2,9,0.2,301.7,5.6,602.3,1054.1,1593.5,9,0,2662.3,1239.4,47.7,1944.4,228.5,0.9,160.6,6618.4,114.4,1.1,152.1,1.6,1.2,1.4,26.5,131.5,0.5,52,894.4,1093.6,10.1,58,139.4,480,64.1,0.8,7.8,37.6,1259.6,145.9,17.8,10.1,11.1,206.3,4.6,2.8,101.2,0,133.5,658.3,85.4,711.1,2.5,766.6,0,689.4,0.6,0.1,0.1,0,1.5,68.2,0,5.9,0,0.2,0.2,0.2,392.5,0,0.3,0,0.4,0,0,0,0.9,0,9.5,0.5,0.1,9.2,0,0.6,0.1,151.3,8.4,1.2,15.9,0.4,0.1,0.3,0,0,0,158.8,0.1,0.1,1.3,1.4,23.5,3,4.8
2012 May,42810.3,5876.5,0,5.1,112,0,270.5,122.5,13.5,1.3,97.8,0.6,3.8,0.7,0.4,2.7,0,0.2,0,203.9,161.5,0.7,0.1,0.4,7.8,0,0,4470.2,0,4.1,297.2,99.7,28848.5,0.1,36.4,9.6,10.2,9.4,4152.7,0,321.8,1416.8,2121.6,85.9,0,91,2678.2,1.7,0.2,2.4,2578.6,318.7,5,0.2,1.3,4159.9,0.2,0,5.8,0.1,255.1,6.5,565,1032.5,2072.2,8.1,0,2712,1191.4,166.9,2615.4,214.9,0.3,0.5,7496.7,110.7,0.5,152.3,1.1,0.8,0.9,23.3,89.3,94.7,40.6,722.7,1174,99.8,51.1,141.6,380.8,15.4,0.7,6.8,122.8,1030.6,142.3,14.2,10,30.1,572.5,6.5,3.1,90.8,0,183.3,1205.5,181.9,792.4,3.9,443.9,0,314.8,1,0,0.4,0,1.2,76.9,0,4.7,1.2,0.2,0.1,43.4,144.6,0,0,0.5,0.5,0,0.5,0,2,0.3,3.1,0.4,0,8.4,0.1,0.4,0,0,2.1,1.6,18.8,0,0.1,0.3,0.1,0,0,91.3,0.1,0.4,3.2,1,0,0.4,9.1
